,farm,sim_id,T_nominal,R_recovery,beta_eff,R0,mean_S,mean_I,total_new_E
186,Farm2,86,0.068459409339388,0.0436870622304884,6.991965319852014e-05,0.0016004658960502155,471.2739726027397,11.263013698630138,138
187,Farm2,87,0.0728930015600534,0.0707906804609727,0.00013850401711471222,0.001956528969813622,483.9917808219178,5.578082191780822,139
188,Farm2,88,0.01,0.04,7.008235182369413e-05,0.0017520587955923532,512.2794520547945,5.16986301369863,69
189,Farm2,89,0.0563215857976432,0.0686680902517027,0.0001348207822773139,0.0019633687464312563,492.9890410958904,4.898630136986301,122
190,Farm2,90,0.0847260853210944,0.076286048500911,0.00013548140068858123,0.001775965636586398,489.61095890410957,2.717808219178082,69
191,Farm2,91,0.100060100496395,0.0622094198488939,0.00011554453062755839,0.0018573478246255144,505.8493150684931,2.9616438356164383,64
192,Farm2,92,0.0165650997760426,0.043388959371637,9.198803764072212e-05,0.0021200793697959473,487.94520547945206,8.463013698630137,141
193,Farm2,93,0.0530983633786177,0.057033638501425,9.877801569787024e-05,0.0017319255494352205,519.0191780821917,3.728767123287671,69
194,Farm2,94,0.0597407422707828,0.0666108501264044,0.00011356452540679068,0.0017048953014604138,497.32876712328766,2.835616438356164,60
195,Farm2,95,0.0137289203005657,0.0590323089440492,0.0001276392779111667,0.0021621935545862382,515.082191780822,3.158904109589041,76
196,Farm2,96,0.01,0.04,8.506050213304256e-05,0.002126512553326064,501.2986301369863,4.597260273972603,74
197,Farm2,97,0.0817106677801564,0.0730044617443138,0.0001238512793093212,0.0016964891781969449,516.1671232876712,2.580821917808219,60
198,Farm2,98,0.0224458791780461,0.0765079780163648,0.00014510246203021333,0.0018965664208140018,502.9698630136986,2.4054794520547946,66
199,Farm2,99,0.0255995789955556,0.0753791863070249,0.00014415783213269924,0.0019124355036884307,520.9479452054794,2.2904109589041095,63
200,Farm3,0,0.0929982465515025,0.0737706299432407,3.011964785147222e-05,0.00040828779521940304,2187.1013698630136,28.77260273972603,707
201,Farm3,1,0.0972989175500361,0.0553752682917079,2.4752153481871184e-05,0.0004469893193380277,2196.717808219178,34.18904109589041,695
202,Farm3,2,0.0481718812412158,0.059106604692854,2.4918522088281835e-05,0.00042158608530756104,2194.468493150685,35.58082191780822,727
203,Farm3,3,0.0649898714541161,0.0734431505414951,3.180565929914655e-05,0.00043306501783548185,2180.227397260274,26.865753424657534,697
204,Farm3,4,0.0615538155776767,0.0782862063581218,3.369044739650751e-05,0.00043034972524265506,2168.33698630137,26.2,720
205,Farm3,5,0.0763051263383194,0.0720364300791857,2.8655780104323803e-05,0.0003977956718957904,2186.3671232876713,30.61917808219178,718
206,Farm3,6,0.1108885716616283,0.0632807916830043,2.591461559055428e-05,0.0004095178789856121,2203.4904109589042,31.71780821917808,677
207,Farm3,7,0.0248270650062909,0.0589440167738663,2.6442307859579377e-05,0.0004486003721297624,2211.0246575342467,34.92602739726028,760
208,Farm3,8,0.040317049619412,0.045408726936218,2.6845074408857237e-05,0.0005911875584304392,1820.6986301369864,76.94794520547946,1359
209,Farm3,9,0.0411249943552222,0.0554595592450344,2.4583931256467575e-05,0.0004432767153422466,2201.2356164383564,36.18082191780822,731
210,Farm3,10,0.0491297857778576,0.04,2.256034245765471e-05,0.0005640085614413677,1821.9479452054795,95.69041095890411,1406
211,Farm3,11,0.0402685946109219,0.0456522049017066,2.6038951288692937e-05,0.0005703766410572544,1864.0109589041097,78.78082191780823,1362
212,Farm3,12,0.0403312525627085,0.0540771826383603,2.4994306947414136e-05,0.0004621969142616562,2200.2657534246578,35.59452054794521,730
213,Farm3,13,0.0340072490441937,0.04,2.2352090744024933e-05,0.0005588022686006234,1827.695890410959,94.73150684931507,1391
214,Farm3,14,0.0461090674246403,0.0521173140937629,2.349103146906729e-05,0.0004507337317269495,2201.3315068493152,37.51780821917808,722
215,Farm3,15,0.0386925140332056,0.08,3.6871389278784575e-05,0.00046089236598480715,2198.0657534246575,24.243835616438357,734
216,Farm3,16,0.0402498047107173,0.0704668231744881,2.91170727678491e-05,0.00041320257471732716,2205.9616438356165,30.613698630136987,734
217,Farm3,17,0.0341826746524877,0.0475276287070564,2.671365017221349e-05,0.0005620657057575297,1830.3698630136987,80.33698630136986,1402
218,Farm3,18,0.0266877953120112,0.051310883970714,2.3167085992993478e-05,0.00045150432423296847,2194.5808219178084,39.38630136986301,746
219,Farm3,19,0.01,0.08,3.678203497259939e-05,0.00045977543715749233,2207.1698630136984,24.2,734
220,Farm3,20,0.0345073380659517,0.08,3.505984825659426e-05,0.0004382481032074283,2200.4904109589042,25.523287671232875,736
221,Farm3,21,0.0330178934266665,0.04,1.8426755963723877e-05,0.0004606688990930969,2204.4465753424656,49.71232876712329,751
222,Farm3,22,0.01,0.04,1.9357098028927648e-05,0.0004839274507231912,2223.7041095890413,47.367123287671234,756
223,Farm3,23,0.0264777873963288,0.055303947793295,2.420783823309141e-05,0.0004377235115939833,2214.7342465753422,36.6,731
224,Farm3,24,0.0553747375234196,0.0475140852018503,2.7648558062957957e-05,0.0005819023547544017,1820.2630136986302,77.2931506849315,1388
225,Farm3,25,0.0618610927484662,0.0751686525152371,3.291122777505955e-05,0.0004378318178364081,2201.358904109589,25.994520547945207,705
226,Farm3,26,0.0313452894794196,0.075620288337337,3.321504211460028e-05,0.0004392345340767575,2190.328767123288,27.052054794520547,737
